scenarioId,incidentId,scenarioType,operationalNarrative,expectedReasoningFocus,primarySourceSystems,replayWindowStart,replayWindowEnd
SCN-20260611,INC-GEN-SCN-20260611,recovery-blocker,Restore readiness is blocked by missing final validation and unresolved signoff,recovery-blocker|restore-readiness|trust-finding,incident-workflow|validation|work-order,2026-06-10T00:00:00Z,2026-06-10T02:00:00Z
SCN-20260612,INC-GEN-SCN-20260612,ups-degradation,UPS output degradation creates immediate capacity and redundancy risk for a GPU pod,dependency-exposure|restore-readiness|capacity-risk,dcim|power-monitoring|work-order,2026-06-10T00:10:00Z,2026-06-10T02:10:00Z
SCN-20260613,INC-GEN-SCN-20260613,cooling-instability,Chilled water instability drives thermal throttling while recovery evidence is still open,recovery-blocker|thermal-risk|restore-readiness,bms|dcim|validation,2026-06-10T00:20:00Z,2026-06-10T02:20:00Z
SCN-20260614,INC-GEN-SCN-20260614,telemetry-bridge-failure,DCIM telemetry bridge loss forces manual validation before trusting impact claims,trust-finding|telemetry-gap|manual-validation,dcim|manual-rounds|validation,2026-06-10T00:30:00Z,2026-06-10T02:30:00Z
SCN-20260615,INC-GEN-SCN-20260615,delayed-work-order,Field repair is delayed by assignment and dispatch latency despite ongoing mitigation,recovery-blocker|work-order-delay|action-eligibility,work-order|incident-workflow|validation,2026-06-10T00:40:00Z,2026-06-10T02:40:00Z
SCN-20260616,INC-GEN-SCN-20260616,conflicting-validation,Primary validation passes while secondary evidence conflicts and blocks closure,trust-finding|conflicting-validation|evidence-review,validation|work-order|dcim,2026-06-10T00:50:00Z,2026-06-10T02:50:00Z
SCN-20260617,INC-GEN-SCN-20260617,repeated-blast-radius,Repeated dependency exposure expands blast radius across GPU capacity groups,blast-radius|dependency-exposure|capacity-risk,topology|dcim|incident-workflow,2026-06-10T01:00:00Z,2026-06-10T03:00:00Z
SCN-20260618,INC-GEN-SCN-20260618,recovery-blocker,Restore readiness is blocked by missing final validation and unresolved signoff,recovery-blocker|restore-readiness|trust-finding,incident-workflow|validation|work-order,2026-06-10T01:10:00Z,2026-06-10T03:10:00Z
SCN-20260619,INC-GEN-SCN-20260619,ups-degradation,UPS output degradation creates immediate capacity and redundancy risk for a GPU pod,dependency-exposure|restore-readiness|capacity-risk,dcim|power-monitoring|work-order,2026-06-10T01:20:00Z,2026-06-10T03:20:00Z
SCN-20260620,INC-GEN-SCN-20260620,cooling-instability,Chilled water instability drives thermal throttling while recovery evidence is still open,recovery-blocker|thermal-risk|restore-readiness,bms|dcim|validation,2026-06-10T01:30:00Z,2026-06-10T03:30:00Z
